fare_id,route_id,origin_id,destination_id,contains_id
420882,,79010,79010,
420882,,79012,79012,
420882,,79011,79011,
420882,,79015,79015,
420882,,79014,79014,
420882,,79013,79013,
420883,,79010,79012,
420883,,79010,79013,
420883,,79012,79010,
420883,,79012,79011,
420883,,79011,79012,
420883,,79015,79014,
420883,,79014,79015,
420883,,79014,79013,
420883,,79013,79010,
420883,,79013,79014,
420884,,79010,79011,
420884,,79010,79014,
420884,,79012,79013,
420884,,79011,79010,
420884,,79015,79013,
420884,,79014,79010,
420884,,79013,79012,
420884,,79013,79015,
420885,,79010,79015,
420885,,79012,79014,
420885,,79011,79013,
420885,,79015,79010,
420885,,79014,79012,
420885,,79013,79011,
420886,,79012,79015,
420886,,79011,79014,
420886,,79015,79012,
420886,,79014,79011,
420887,,79011,79015,
420887,,79015,79011,
